[2026-05-21T04:29:17.545082] L=64 seed=16402 starting
[2026-05-21T04:29:17.545131] starting fresh, n_drops=600000
[2026-05-21T04:34:12.607845] drop=185000 p=0.99004 <s>_win=270.6 max_s=58580 max_unique=35564 (unique%=13.6) z=0.615 rate=627/s elapsed=295s
[2026-05-21T04:34:50.461642] drop=190000 p=0.99310 <s>_win=266.4 max_s=74584 max_unique=41654 (unique%=15.9) z=0.616 rate=571/s elapsed=333s
[2026-05-21T04:35:27.524055] drop=195000 p=0.99520 <s>_win=269.1 max_s=63336 max_unique=35771 (unique%=13.6) z=0.616 rate=527/s elapsed=370s
[2026-05-21T04:36:04.825157] drop=200000 p=0.99625 <s>_win=248.8 max_s=90698 max_unique=48930 (unique%=18.7) z=0.618 rate=491/s elapsed=407s
[2026-05-21T04:36:04.992112] checkpoint saved at drop=200000
[2026-05-21T04:36:42.918017] drop=205000 p=0.99718 <s>_win=271.0 max_s=112481 max_unique=58539 (unique%=22.3) z=0.617 rate=460/s elapsed=445s
[2026-05-21T04:37:21.891510] drop=210000 p=0.99786 <s>_win=293.4 max_s=118308 max_unique=63865 (unique%=24.4) z=0.616 rate=434/s elapsed=484s
[2026-05-21T04:37:59.036922] drop=215000 p=0.99822 <s>_win=269.8 max_s=84978 max_unique=49442 (unique%=18.9) z=0.618 rate=412/s elapsed=521s
[2026-05-21T04:38:37.250645] drop=220000 p=0.99858 <s>_win=270.3 max_s=72099 max_unique=41200 (unique%=15.7) z=0.617 rate=393/s elapsed=560s
[2026-05-21T04:39:13.576615] drop=225000 p=0.99886 <s>_win=268.1 max_s=110602 max_unique=57897 (unique%=22.1) z=0.616 rate=377/s elapsed=596s
[2026-05-21T04:39:49.912968] drop=230000 p=0.99905 <s>_win=282.7 max_s=101299 max_unique=55107 (unique%=21.0) z=0.616 rate=364/s elapsed=632s
[2026-05-21T04:40:24.531260] drop=235000 p=0.99921 <s>_win=278.1 max_s=181629 max_unique=82792 (unique%=31.6) z=0.616 rate=352/s elapsed=667s
[2026-05-21T04:40:59.070270] drop=240000 p=0.99933 <s>_win=265.9 max_s=93426 max_unique=52424 (unique%=20.0) z=0.617 rate=342/s elapsed=702s
[2026-05-21T04:41:35.229026] drop=245000 p=0.99948 <s>_win=270.7 max_s=105825 max_unique=58120 (unique%=22.2) z=0.616 rate=332/s elapsed=738s
[2026-05-21T04:42:13.227903] drop=250000 p=0.99956 <s>_win=265.7 max_s=129784 max_unique=68010 (unique%=25.9) z=0.616 rate=322/s elapsed=776s
[2026-05-21T04:42:13.427605] checkpoint saved at drop=250000
[2026-05-21T04:42:50.723651] drop=255000 p=0.99966 <s>_win=261.6 max_s=94698 max_unique=48900 (unique%=18.7) z=0.616 rate=314/s elapsed=813s
[2026-05-21T04:43:28.380436] drop=260000 p=0.99972 <s>_win=281.0 max_s=109738 max_unique=60670 (unique%=23.1) z=0.616 rate=306/s elapsed=851s
[2026-05-21T04:44:04.260265] drop=265000 p=0.99976 <s>_win=287.2 max_s=201902 max_unique=87974 (unique%=33.6) z=0.615 rate=299/s elapsed=887s
[2026-05-21T04:44:41.940361] drop=270000 p=0.99980 <s>_win=250.1 max_s=89434 max_unique=48741 (unique%=18.6) z=0.615 rate=292/s elapsed=924s
[2026-05-21T04:45:18.742509] drop=275000 p=0.99984 <s>_win=260.9 max_s=194012 max_unique=91686 (unique%=35.0) z=0.616 rate=286/s elapsed=961s
[2026-05-21T04:45:56.423039] drop=280000 p=0.99987 <s>_win=264.5 max_s=66220 max_unique=38626 (unique%=14.7) z=0.617 rate=280/s elapsed=999s
[2026-05-21T04:46:32.919128] drop=285000 p=0.99990 <s>_win=278.4 max_s=112884 max_unique=59177 (unique%=22.6) z=0.616 rate=275/s elapsed=1035s
[2026-05-21T04:47:09.670258] drop=290000 p=0.99992 <s>_win=261.8 max_s=104696 max_unique=56814 (unique%=21.7) z=0.616 rate=270/s elapsed=1072s
[2026-05-21T04:47:47.910369] drop=295000 p=0.99992 <s>_win=267.3 max_s=77875 max_unique=43566 (unique%=16.6) z=0.617 rate=266/s elapsed=1110s
[2026-05-21T04:48:24.027634] drop=300000 p=0.99993 <s>_win=264.2 max_s=114988 max_unique=60316 (unique%=23.0) z=0.617 rate=262/s elapsed=1146s
[2026-05-21T04:48:24.260609] checkpoint saved at drop=300000
[2026-05-21T04:49:02.733105] drop=305000 p=0.99993 <s>_win=284.2 max_s=97105 max_unique=53199 (unique%=20.3) z=0.616 rate=257/s elapsed=1185s
[2026-05-21T04:49:38.769155] drop=310000 p=0.99994 <s>_win=262.3 max_s=86140 max_unique=45772 (unique%=17.5) z=0.617 rate=254/s elapsed=1221s
[2026-05-21T04:50:14.077643] drop=315000 p=0.99996 <s>_win=249.9 max_s=68629 max_unique=41120 (unique%=15.7) z=0.617 rate=251/s elapsed=1257s
[2026-05-21T04:50:50.727087] drop=320000 p=0.99996 <s>_win=258.2 max_s=72860 max_unique=42215 (unique%=16.1) z=0.616 rate=247/s elapsed=1293s
[2026-05-21T04:51:28.041228] drop=325000 p=0.99997 <s>_win=261.7 max_s=66254 max_unique=37715 (unique%=14.4) z=0.617 rate=244/s elapsed=1330s
[2026-05-21T04:52:06.043635] drop=330000 p=0.99998 <s>_win=283.8 max_s=75101 max_unique=40837 (unique%=15.6) z=0.616 rate=241/s elapsed=1368s
[2026-05-21T04:52:40.665865] drop=335000 p=0.99998 <s>_win=255.0 max_s=119168 max_unique=59383 (unique%=22.7) z=0.616 rate=239/s elapsed=1403s
[2026-05-21T04:53:16.902125] drop=340000 p=0.99998 <s>_win=256.6 max_s=68943 max_unique=37642 (unique%=14.4) z=0.617 rate=236/s elapsed=1439s
[2026-05-21T04:53:53.218463] drop=345000 p=0.99998 <s>_win=258.3 max_s=87550 max_unique=45382 (unique%=17.3) z=0.617 rate=234/s elapsed=1476s
[2026-05-21T04:54:30.638251] drop=350000 p=0.99998 <s>_win=271.1 max_s=127078 max_unique=65289 (unique%=24.9) z=0.615 rate=231/s elapsed=1513s
[2026-05-21T04:54:30.904978] checkpoint saved at drop=350000
[2026-05-21T04:55:06.059001] drop=355000 p=0.99999 <s>_win=238.6 max_s=182247 max_unique=86585 (unique%=33.0) z=0.616 rate=229/s elapsed=1549s
[2026-05-21T04:55:43.261589] drop=360000 p=0.99999 <s>_win=291.2 max_s=103379 max_unique=51758 (unique%=19.7) z=0.616 rate=227/s elapsed=1586s
